token_text	predicates	gold predicates
how	_	_
she	_	_
says	PRED	PRED
it	_	_
's	PRED	PRED
not	_	_
callum	_	_
but	_	_
does	PRED	PRED
n't	_	_
deny	PRED	PRED
it	_	_
's	PRED	PRED
me	_	_
....	_	_
i	_	_
think	PRED	PRED
we	_	_
all	_	_
know	PRED	PRED
who	_	_
she	_	_
's	PRED	PRED
talking	_	PRED
about	_	_
...	_	_
EDIT	_	_
:	_	_
now	_	_
i	_	_
'm	PRED	PRED
curious	_	PRED
...	_	_
EDIT	_	_
:	_	_
How	_	_
did	PRED	PRED
I	_	_
know	PRED	PRED
...	_	_
lol	_	_
they	_	_
really	_	_
are	PRED	PRED
n't	_	_
that	_	_
much	_	_
worse	_	PRED
than	_	_
me	_	_
and	_	_
their	_	_
gpa	_	_
was	PRED	PRED
better	_	PRED
than	_	_
mine	_	_
....	_	_
can	_	_
i	_	_
buy	PRED	PRED
a	_	_
laptop	_	_
in	_	_
u.k	_	_
and	_	_
then	_	_
take	PRED	PRED
it	_	_
to	_	_
rep.	_	_
ireland	_	_
and	_	_
put	PRED	PRED
a	_	_
irish	_	_
pay	PRED	PRED
,	_	_
go	PRED	PRED
dongle	_	_
in	_	_
it	_	_
?	_	_
i	_	_
want	PRED	PRED
to	_	_
buy	PRED	PRED
a	_	_
laptop	_	_
for	_	_
my	_	_
girlfriend	_	_
in	_	_
ireland	_	_
,	_	_
would	_	_
she	_	_
be	PRED	PRED
able	_	PRED
to	_	_
just	_	_
use	PRED	PRED
the	_	_
dongle	_	_
she	_	_
uses	PRED	PRED
for	_	_
her	_	_
pc	_	_
and	_	_
put	PRED	PRED
it	_	_
straight	_	_
in	_	_
the	_	_
laptop	_	_
and	_	_
it	_	_
work	PRED	PRED
like	_	_
normall	_	_
?	_	_
thanks	_	PRED
people	_	_
Yes	_	_
obviously	_	_
the	_	_
USB	_	_
is	PRED	PRED
region	_	_
free	_	PRED
which	_	_
means	PRED	PRED
you	_	_
can	_	_
use	PRED	PRED
it	_	_
anywhere	_	_
.	_	_
And	_	_
every	_	_
computer	_	_
manufactured	PRED	PRED
in	_	_
both	_	_
Ireland	_	_
&	_	_
the	_	_
UK	_	_
are	PRED	PRED
Region	_	_
2	_	_
aka	_	_
PAL	_	_
.	_	_
There	_	_
wo	_	_
n't	_	_
be	PRED	PRED
a	_	_
difference	_	PRED
since	_	_
mobile	_	_
broadband	_	_
is	PRED	PRED
supposed	PRED	PRED
to	_	_
be	PRED	PRED
digital	_	_
.	_	_
But	_	_
word	_	_
of	_	_
advice	_	_
if	_	_
you	_	_
're	PRED	PRED
get	PRED	PRED
your	_	_
girlfriend	_	_
a	_	_
laptop	_	_
make	PRED	PRED
sure	_	PRED
it	_	_
s	PRED	PRED
a	_	_
good	_	_
brand	_	_
a	_	_
not	_	_
something	_	_
like	_	_
DELL	_	_
,	_	_
Acer	_	_
,	_	_
Asus	_	_
,	_	_
eMachines	_	_
etc	_	_
.	_	_
I	_	_
have	PRED	PRED
many	_	_
friends	_	_
that	_	_
have	PRED	PRED
laptops	_	_
bought	PRED	PRED
in	_	_
the	_	_
UK	_	_
that	_	_
use	PRED	PRED
them	_	_
here	_	_
If	_	_
in	_	_
dongle	_	_
you	_	_
mean	PRED	PRED
USB	_	_
stick	_	_
then	_	_
yes	_	_
USB	_	_
sticks	_	_
are	PRED	PRED
the	_	_
same	_	_
any	_	_
were	_	_
you	_	_
go	PRED	PRED
:)	_	_
hope	PRED	PRED
that	_	_
answered	PRED	PRED
your	_	_
question	_	_
.	_	_
How	_	_
do	PRED	PRED
I	_	_
take	PRED	PRED
care	_	PRED
of	_	_
my	_	_
newborn	_	_
baby	_	_
fish	_	_
?	_	_
I	_	_
am	PRED	PRED
nervous	_	PRED
that	_	_
my	_	_
other	_	_
fish	_	_
will	_	_
eat	PRED	PRED
them	_	_
,	_	_
and	_	_
I	_	_
do	PRED	PRED
n't	_	_
know	PRED	PRED
what	_	_
to	_	_
feed	PRED	PRED
them	_	_
!	_	_
I	_	_
have	PRED	PRED
counted	PRED	PRED
around	_	_
25	_	_
of	_	_
them	_	_
and	_	_
they	_	_
currently	_	_
reside	PRED	PRED
in	_	_
a	_	_
20	_	_
gallon	_	_
tank	_	_
.	_	_
You	_	_
could	_	_
move	PRED	PRED
all	_	_
the	_	_
babies	_	_
into	_	_
a	_	_
fry	_	_
net	_	_
breeder	_	_
or	_	_
move	PRED	PRED
all	_	_
of	_	_
the	_	_
bigger	_	_
fish	_	_
(	_	_
also	_	_
the	_	_
parents	_	_
)	_	_
to	_	_
a	_	_
different	_	_
tank	_	_
to	_	_
avoid	PRED	PRED
the	_	_
babies	_	_
getting	_	PRED
eaten	PRED	PRED
.	_	_
Feed	PRED	PRED
the	_	_
babies	_	_
3	_	_
-	_	_
4	_	_
times	_	_
a	_	_
day	_	_
with	_	_
flakes	_	_
.	_	_
Provide	PRED	PRED
plenty	_	_
of	_	_
hiding	_	_
places	_	_
like	_	_
rocks	_	_
,	_	_
plants	_	_
,	_	_
etc	_	_
in	_	_
the	_	_
tank	_	_
.	_	_
It	_	_
s	PRED	PRED
natural	_	PRED
for	_	_
some	_	_
babies	_	_
to	_	_
be	PRED	PRED
eaten	PRED	PRED
by	_	_
adults	_	_
and	_	_
if	_	_
all	_	_
of	_	_
them	_	_
survived	PRED	PRED
your	_	_
tank	_	_
would	_	_
be	PRED	PRED
very	_	_
overcrowded	_	PRED
.	_	_
Look	PRED	PRED
in	_	_
the	_	_
pet	_	_
stores	PRED	_
for	_	_
fry	_	_
food	_	_
or	_	_
baby	_	_
fish	_	_
foods	_	_
.	_	_
what	_	_
kind	_	_
of	_	_
newborn	_	_
fish	_	_
you	_	_
have	PRED	PRED
?	_	_
some	_	_
parents	_	_
would	_	_
not	_	_
eat	PRED	PRED
there	_	_
fish	_	_
till	_	_
a	_	_
certain	_	_
age	_	_
jack	_	_
dempsey	_	_
for	_	_
example	_	_
would	_	_
not	_	_
eat	PRED	PRED
there	_	_
offspring	_	_
till	_	_
they	_	_
mature	PRED	PRED
but	_	_
i	_	_
would	_	_
move	PRED	PRED
the	_	_
baby	_	_
fish	_	_
into	_	_
a	_	_
smaller	_	_
tank	_	_
and	_	_
feed	PRED	PRED
them	_	_
flakes	_	_
I	_	_
have	PRED	PRED
a	_	_
question	_	_
about	_	_
McDonald	_	_
's	_	_
Monopoly	_	_
!	_	_
Please	_	_
HELP	PRED	PRED
!!!!!!!!!!!!!!!!!!!!!	_	_
Ok	_	_
,	_	_
I	_	_
know	PRED	PRED
that	_	_
Mcdonald	_	_
's	_	_
has	PRED	PRED
Monopoly	_	_
going	_	PRED
on	_	_
right	_	_
now	_	_
.	_	_
&	_	_
I	_	_
wan	PRED	PRED
na	_	_
know	PRED	PRED
what	_	_
food	_	_
has	PRED	PRED
the	_	_
game	_	_
pieces	_	_
.	_	_
And	_	_
what	_	_
food	_	_
has	PRED	PRED
EXTRA	_	_
game	_	_
pieces	_	_
.	_	_
Because	_	_
Large	_	_
Fries	_	_
give	PRED	PRED
you	_	_
FOUR	_	_
PIECES	_	_
!	_	_
When	_	_
most	_	_
of	_	_
the	_	_
food	_	_
or	_	_
drinks	_	_
I	_	_
got	PRED	PRED
only	_	_
included	PRED	PRED
two	_	_
!	_	_
So	_	_
can	_	_
somebody	_	_
please	_	_
list	PRED	PRED
ALL	_	_
of	_	_
the	_	_
food	_	_
that	_	_
includes	PRED	PRED
the	_	_
game	_	_
pieces	_	_
,	_	_
and	_	_
the	_	_
number	_	_
of	_	_
game	_	_
pieces	_	_
you	_	_
get	PRED	PRED
with	_	_
THAT	_	_
FOOD	_	_
!	_	_
The	_	_
person	_	_
who	_	_
best	_	_
explains	PRED	PRED
this	_	_
,	_	_
and	_	_
helps	PRED	PRED
me	_	_
out	_	_
the	_	_
best	_	_
with	_	_
my	_	_
question	_	_
will	_	_
be	PRED	PRED
REWARDED	PRED	PRED
WITH	_	_
TEN	_	_
POINTS	_	_
!!!!!!!	_	_
PLEASE	_	_
HELP	PRED	PRED
!!!!!!!!!!!	_	_
THANK	PRED	PRED
YOU	_	_
!!!!!!!!!!!!!	_	_
:D	_	_
scroll	PRED	PRED
down	_	_
and	_	_
this	_	_
website	_	_
shows	PRED	PRED
each	_	_
thing	_	_
you	_	_
can	_	_
buy	PRED	PRED
(:	_	_
bit	_	_
of	_	_
a	_	_
stupid	_	_
question	_	_
but	_	_
do	PRED	PRED
the	_	_
spikes	_	_
/	_	_
spines	_	_
(	_	_
whatever	_	_
you	_	_
call	PRED	PRED
them	_	_
)	_	_
on	_	_
their	_	_
side	_	_
and	_	_
face	_	_
area	_	_
ever	_	_
go	PRED	PRED
hard	_	PRED
.	_	_
or	_	_
are	PRED	PRED
they	_	_
just	_	_
supposed	PRED	PRED
to	_	_
look	PRED	PRED
like	_	_
they	_	_
are	PRED	PRED
so	_	_
nothing	_	_
will	_	_
try	PRED	PRED
to	_	_
eat	PRED	PRED
them	_	_
becca	_	_
is	PRED	PRED
right	_	PRED
.	_	_
i	_	_
v	PRED	PRED
owned	PRED	PRED
beardies	_	_
for	_	_
ovr	_	_
3	_	_
yrs	_	_
and	_	_
i	_	_
handle	PRED	PRED
mine	_	_
all	_	_
the	_	_
time	_	_
..	_	_
they	_	_
do	PRED	PRED
nt	_	_
go	PRED	PRED
hard	_	PRED
lik	_	_
eneedle	_	_
hard	_	_
but	_	_
they	_	_
ar	PRED	PRED
nt	_	_
pillow	_	_
soft	_	PRED
.	_	_
they	_	_
use	PRED	PRED
them	_	_
to	_	_
look	PRED	PRED
prickly	_	_
..	_	_
would	_	_
you	_	_
try	PRED	PRED
to	_	_
eat	PRED	PRED
a	_	_
cactus	_	_
[	_	_
if	_	_
u	_	_
had	PRED	PRED
no	_	_
knife	_	_
]	_	_
i	_	_
know	PRED	PRED
i	_	_
would	_	_
nt	_	_
.	_	_
they	_	_
puff	PRED	PRED
out	_	_
to	_	_
look	PRED	PRED
bigger	_	PRED
and	_	_
badder	_	_
and	_	_
they	_	_
can	_	_
scratch	PRED	PRED
you	_	_
a	_	_
lil	_	_
if	_	_
u	_	_
r	PRED	PRED
holding	_	PRED
them	_	_
to	_	_
tight	_	_
:)	_	_
They	_	_
re	PRED	PRED
not	_	_
really	_	_
hard	_	PRED
.	_	_
Beardies	_	_
are	PRED	PRED
actually	_	_
quite	_	_
delicate	_	_
.	_	_
I	_	_
'm	PRED	PRED
assuming	_	PRED
it	_	_
's	PRED	PRED
to	_	_
scare	PRED	PRED
off	_	_
predators	_	_
/	_	_
like	_	_
how	_	_
they	_	_
will	_	_
puff	PRED	PRED
up	_	_
their	_	_
neck	_	_
spikes	_	_
to	_	_
make	PRED	PRED
them	_	_
look	PRED	PRED
bigger	_	PRED
to	_	_
predators	_	_
or	_	_
enemies	_	_
.	_	_
they	_	_
do	PRED	PRED
nt	_	_
hurt	PRED	PRED
unless	_	_
you	_	_
r	PRED	PRED
stupid	_	PRED
enough	_	PRED
to	_	_
press	PRED	PRED
on	_	_
them	_	_
.	_	_
They	_	_
just	_	_
are	PRED	PRED
there	_	_
as	_	_
an	_	_
adaptation	_	PRED
.	_	_
what	_	_
is	PRED	PRED
a	_	_
kimberwick	_	_
bit	_	_
used	PRED	PRED
for	_	_
?	_	_
Used	PRED	PRED
as	_	_
a	_	_
help	_	PRED
for	_	_
horses	_	_
that	_	_
are	PRED	PRED
quite	_	_
strong	_	_
pullers	_	_
while	_	_
hacking	_	PRED
,	_	_
hunting	_	PRED
and	_	_
doing	_	PRED
cross	_	_
country	_	_
.	_	_
It	_	_
is	PRED	PRED
a	_	_
curb	_	_
bit	_	_
with	_	_
a	_	_
ported	_	_
mouth	_	_
piece	_	_
and	_	_
some	_	_
horses	_	_
appreciate	PRED	PRED
this	_	_
to	_	_
give	PRED	PRED
them	_	_
more	_	_
room	_	_
in	_	_
their	_	_
mouths	_	_
for	_	_
their	_	_
tongues	_	_
.	_	_
It	_	_
is	PRED	PRED
not	_	_
as	_	_
precise	_	PRED
as	_	_
a	_	_
pelham	_	_
bit	_	_
because	_	_
it	_	_
only	_	_
uses	PRED	PRED
one	_	_
rein	_	_
,	_	_
though	_	_
the	_	_
modern	_	_
ones	_	_
have	PRED	PRED
two	_	_
or	_	_
three	_	_
slots	_	_
on	_	_
which	_	_
to	_	_
put	PRED	PRED
the	_	_
reins	_	_
.	_	_
The	_	_
lower	_	PRED
the	_	_
reins	_	_
,	_	_
the	_	_
stronger	_	_
the	_	_
action	_	PRED
and	_	_
the	_	_
lower	_	PRED
the	_	_
reins	_	_
the	_	_
stronger	_	_
the	_	_
action	_	PRED
on	_	_
the	_	_
poll	_	PRED
too	_	_
.	_	_
Useful	_	_
for	_	_
younger	_	_
kids	_	_
who	_	_
do	PRED	PRED
not	_	_
have	PRED	PRED
big	_	_
enough	_	_
hands	_	_
or	_	_
the	_	_
ability	_	_
to	_	_
handle	PRED	PRED
two	_	_
reins	_	_
independently	_	_
.	_	_
For	_	_
horses	_	_
that	_	_
are	PRED	PRED
strong	_	_
pullers	_	_
.	_	_
It	_	_
just	_	_
gives	PRED	PRED
you	_	_
a	_	_
little	_	_
leverage	_	PRED
and	_	_
curb	_	_
pressure	_	_
.	_	_
It	_	_
's	PRED	PRED
nice	_	PRED
for	_	_
horses	_	_
that	_	_
need	PRED	PRED
a	_	_
little	_	_
more	_	_
than	_	_
a	_	_
snaffle	_	_
.	_	_
I	_	_
know	PRED	PRED
that	_	_
's	PRED	PRED
vague	_	PRED
,	_	_
but	_	_
it	_	_
depends	PRED	PRED
on	_	_
the	_	_
horse	_	_
.	_	_
The	_	_
rider	_	_
needs	PRED	PRED
to	_	_
have	PRED	PRED
independent	_	_
hands	_	_
as	_	_
well	_	_
,	_	_
because	_	_
you	_	_
do	PRED	PRED
NOT	_	_
want	PRED	PRED
to	_	_
pull	PRED	PRED
too	_	_
hard	_	_
on	_	_
a	_	_
bit	_	_
like	_	_
that	_	_
.	_	_
;)	_	_
How	_	_
long	_	_
to	_	_
save	PRED	PRED
up	_	_
for	_	_
a	_	_
canon	_	_
t3i	_	_
?	_	_
I	_	_
want	PRED	PRED
to	_	_
save	PRED	PRED
up	_	_
for	_	_
a	_	_
canon	_	_
t3i	_	_
,	_	_
around	_	_
750	_	_
-	_	_
800	_	_
+	_	_
:(	_	_
I	_	_
'm	PRED	PRED
currently	_	_
12	_	_
and	_	_
I	_	_
get	PRED	PRED
about	_	_
20	_	_
dollars	_	_
a	_	_
week	_	_
for	_	_
lunch	_	_
,	_	_
sometimes	_	_
a	_	_
bit	_	_
more	_	_
,	_	_
I	_	_
plan	PRED	PRED
to	_	_
save	PRED	PRED
10	_	_
dollars	_	_
every	_	_
week	_	_
:)	_	_
My	_	_
birthday	_	_
is	PRED	PRED
in	_	_
november	_	_
and	_	_
I	_	_
get	PRED	PRED
about	_	_
....	_	_
150	_	_
or	_	_
more	_	_
since	_	_
i	_	_
hate	PRED	PRED
my	_	_
dad	_	_
s	_	_
family	_	_
..	_	_
haha	_	_
Can	_	_
someone	_	_
cunclude	PRED	PRED
how	_	_
long	_	_
it	_	_
might	_	_
take	PRED	PRED
me	_	_
to	_	_
save	PRED	PRED
up	_	_
for	_	_
the	_	_
canan	_	_
t3i	_	_
or	_	_
some	_	_
extra	_	_
tips	_	PRED
to	_	_
save	PRED	PRED
/	_	_
gain	PRED	PRED
money	_	_
?	_	_
:O	_	_
Be	PRED	PRED
happy	_	PRED
you	_	_
get	PRED	PRED
a	_	_
bit	_	_
,	_	_
many	_	_
of	_	_
us	_	_
never	_	_
got	PRED	PRED
nothing	_	_
:)	_	_
There	_	_
's	PRED	PRED
a	_	_
Canon	_	_
EOS	_	_
T2i	_	_
,	_	_
with	_	_
the	_	_
exact	_	_
same	_	_
sensor	_	_
,	_	_
just	_	_
no	_	_
articulating	_	_
screen	_	_
.	_	_
It	_	_
's	PRED	PRED
around	_	_
$	_	_
100	_	_
less	_	PRED
,	_	_
which	_	_
means	PRED	PRED
you	_	_
get	PRED	PRED
the	_	_
same	_	_
camera	_	_
but	_	_
quicker	_	_
!	_	_
Here	_	_
's	PRED	PRED
a	_	_
DSLR	_	_
Buying	_	_
Guide	_	_
-	_	_
http://www.the-dslr-photographer.com/2009/11/which-dslr-to-buy/	_	_
Do	PRED	PRED
n't	_	_
worry	PRED	PRED
about	_	_
it	_	_
.	_	_
If	_	_
you	_	_
ca	_	_
n't	_	_
even	_	_
do	PRED	PRED
basic	_	_
math	_	_
,	_	_
you	_	_
'll	_	_
never	_	_
figure	PRED	PRED
out	_	_
how	_	_
to	_	_
use	PRED	PRED
a	_	_
DSLR	_	_
camera	_	_
properly	_	_
.	_	_
hey	_	_
kido	_	_
u	_	_
made	PRED	PRED
me	_	_
smile	PRED	PRED
does	PRED	PRED
the	_	_
POP	_	_
drying	_	_
time	_	_
slow	PRED	PRED
down	_	_
if	_	_
it	_	_
not	_	_
exposed	PRED	PRED
to	_	_
air	_	_
?	_	_
it	_	_
s	PRED	PRED
for	_	_
a	_	_
craft	_	_
project	_	_
.....	_	_
i	_	_
want	PRED	PRED
to	_	_
use	PRED	PRED
it	_	_
the	_	_
way	_	PRED
u	_	_
would	_	_
use	PRED	PRED
icing	_	_
....	_	_
took	PRED	PRED
a	_	_
bit	_	_
of	_	_
searching	_	PRED
to	_	_
discover	PRED	PRED
that	_	_
POP	_	_
is	PRED	PRED
probably	_	_
PoP	_	_
-	_	_
plaster	_	_
of	_	_
Paris	_	_
and	_	_
yes	_	_
plaster	_	_
of	_	_
Paris	_	_
will	_	_
slow	PRED	PRED
way	_	_
down	_	_
if	_	_
it	_	_
is	PRED	PRED
not	_	_
exposed	PRED	PRED
to	_	_
air	_	_
-	_	_
in	_	_
fact	_	_
,	_	_
if	_	_
you	_	_
are	PRED	PRED
building	_	PRED
up	_	_
plaster	_	_
(	_	_
|	|	_	_
the	_	_
way	_	PRED
you	_	_
would	_	_
icing	_	_
|	|	_	_
)	_	_
to	_	_
do	PRED	PRED
sculpting	_	PRED
,	_	_
which	_	_
is	PRED	PRED
rather	_	_
uncommon	_	PRED
,	_	_
you	_	_
keep	PRED	PRED
the	_	_
set	_	_
plaster	_	_
damp	_	PRED
in	_	_
order	_	_
to	_	_
add	PRED	PRED
more	_	_
unset	_	_
plaster	_	_
or	_	_
you	_	_
have	PRED	PRED
to	_	_
wet	PRED	PRED
the	_	_
area	_	_
where	_	_
you	_	_
will	_	_
be	PRED	PRED
adding	_	PRED
plaster	_	_
|	|	_	_
mud	_	_
|	|	_	_
Plaster	_	_
of	_	_
Paris	_	_
does	PRED	PRED
two	_	_
things	_	_
-	_	_
it	_	_
chemically	_	_
sets	PRED	PRED
-	_	_
gets	PRED	PRED
warm	_	PRED
to	_	_
hot	_	_
then	_	_
cools	PRED	PRED
down	_	_
and	_	_
hard	_	_
and	_	_
-	_	_
it	_	_
dries	PRED	PRED
out	_	_
,	_	_
losing	_	PRED
the	_	_
water	_	_
that	_	_
is	PRED	PRED
soaked	PRED	PRED
into	_	_
the	_	_
set	_	_
structure	_	_
For	_	_
example	_	_
,	_	_
a	_	_
set	_	_
plaster	_	_
mold	_	_
that	_	_
is	PRED	PRED
to	_	_
be	PRED	PRED
used	PRED	PRED
for	_	_
clay	_	_
slip	_	_
casting	_	PRED
must	_	_
be	PRED	PRED
dry	_	_
-	_	_
it	_	_
gets	PRED	PRED
wet	_	_
pulling	_	PRED
the	_	_
water	_	_
out	_	_
of	_	_
the	_	_
slip	_	_
-	_	_
while	_	_
a	_	_
set	_	_
plaster	_	_
mold	_	_
used	PRED	PRED
for	_	_
molding	_	_
wax	_	_
must	_	_
be	PRED	PRED
soaking	_	_
or	_	_
damp	_	_
wet	_	_
Dwarf	_	_
Hamster	_	_
Making	_	PRED
Too	_	_
Much	_	_
Noise	_	_
On	_	_
Wheel	_	_
at	_	_
Night	_	_
?	_	_
I	_	_
'm	PRED	PRED
getting	_	PRED
a	_	_
dwarf	_	_
Hamster	_	_
tomorrow	_	_
And	_	_
i	_	_
was	PRED	PRED
just	_	_
talking	_	PRED
to	_	_
my	_	_
Mom	_	_
and	_	_
she	_	_
said	PRED	PRED
that	_	_
we	_	_
have	PRED	PRED
to	_	_
take	PRED	PRED
out	_	_
the	_	_
wheel	_	_
at	_	_
night	_	_
because	_	_
it	_	_
would	_	_
disturb	PRED	PRED
her	_	_
sleep	_	_
But	_	_
i	_	_
told	PRED	PRED
her	_	_
no	_	_
because	_	_
i	_	_
said	PRED	PRED
thei	_	_
r	PRED	PRED
energetic	_	_
at	_	_
night	_	_
at	_	_
my	_	_
room	_	_
is	PRED	PRED
right	_	_
next	_	_
door	_	_
to	_	_
hers	_	_
But	_	_
i	_	_
heard	PRED	PRED
their	_	_
are	PRED	PRED
wheels	_	_
that	_	_
do	PRED	PRED
nt	_	_
make	PRED	PRED
noise	_	_
at	_	_
all	_	_
what	_	_
would	_	_
be	PRED	PRED
the	_	_
price	_	PRED
of	_	_
it	_	_
?	_	_
I	_	_
'm	PRED	PRED
quite	_	_
sure	_	PRED
,	_	_
you	_	_
do	PRED	PRED
n't	_	_
even	_	_
have	PRED	PRED
to	_	_
buy	PRED	PRED
another	_	_
,	_	_
all	_	_
you	_	_
need	PRED	PRED
to	_	_
do	PRED	PRED
,	_	_
is	PRED	PRED
to	_	_
pour	PRED	PRED
some	_	_
oil	_	_
on	_	_
the	_	_
wheel	_	_
,	_	_
or	_	_
even	_	_
put	PRED	PRED
some	_	_
rubber	_	_
on	_	_
it's	_	_
edges	_	_
,	_	_
the	_	_
part	_	_
that	_	_
is	PRED	PRED
making	_	PRED
the	_	_
noise	_	_
.	_	_
That	_	_
might	_	_
work	PRED	PRED
Our	_	_
Price	_	PRED
:	_	_
$	_	_
10.99	_	_
to	_	_
12.99	_	_
PETSMART	_	_
!	_	_
works	PRED	PRED
well	_	_
lasts	PRED	PRED
long	_	_
.	_	_
I	_	_
have	PRED	PRED
a	_	_
dwarf	_	_
hamster	_	_
who	_	_
HATES	PRED	PRED
his	_	_
wheel	_	_
and	_	_
does	PRED	PRED
n't	_	_
use	PRED	PRED
it	_	_
-	_	_
he	_	_
makes	PRED	PRED
so	_	_
much	_	_
MORE	_	_
noise	_	_
,	_	_
as	_	_
he	_	_
plays	PRED	PRED
and	_	_
digs	PRED	PRED
and	_	_
jumps	PRED	PRED
(	_	_
seriously	_	_
)	_	_
wheels	_	_
are	PRED	PRED
relatively	_	_
noiseless	_	_
-	_	_
a	_	_
few	_	_
squeaks	_	_
from	_	_
a	_	_
wheel	_	_
are	PRED	PRED
better	_	PRED
than	_	_
the	_	_
full	_	_
wrath	_	_
of	_	_
a	_	_
bored	_	_
pet	_	_
!	_	_
Change	_	PRED
of	_	_
boarding	_	_
station	_	_
?	_	_
How	_	_
can	_	_
I	_	_
change	PRED	PRED
my	_	_
boarding	_	_
station	_	_
against	_	_
the	_	_
ticket	_	_
I	_	_
booked	PRED	PRED
a	_	_
month	_	_
back	_	_
from	_	_
counter	_	_
?	_	_
My	_	_
origin	_	_
Station	_	_
is	PRED	PRED
Howrah	_	_
,	_	_
but	_	_
I	_	_
want	PRED	PRED
to	_	_
board	PRED	PRED
at	_	_
Asansol	_	_
..	_	_
Does	PRED	PRED
your	_	_
train	_	_
pass	PRED	PRED
Asansol	_	_
when	_	_
starting	_	PRED
from	_	_
Howrah	_	_
?	_	_
If	_	_
yes	_	_
,	_	_
you	_	_
do	PRED	PRED
n't	_	_
need	PRED	PRED
to	_	_
change	PRED	PRED
it	_	_
because	_	_
you	_	_
board	PRED	PRED
later	_	_
.	_	_
If	_	_
no	_	_
,	_	_
you	_	_
'll	_	_
have	PRED	PRED
to	_	_
go	PRED	PRED
to	_	_
one	_	_
of	_	_
the	_	_
train	_	_
stations	_	_
.	_	_
In	_	_
Calcutta	_	_
there	_	_
is	PRED	PRED
a	_	_
Foreigner	_	_
's	_	_
reservation	_	_
office	_	_
where	_	_
they	_	_
speak	PRED	PRED
English	_	_
very	_	_
well	_	_
.	_	_
I	_	_
do	PRED	PRED
n't	_	_
remember	PRED	PRED
near	_	_
which	_	_
station	_	_
it	_	_
is	PRED	PRED
though	_	_
.	_	_
They	_	_
can	_	_
help	PRED	PRED
you	_	_
and	_	_
it	_	_
is	PRED	PRED
close	_	_
to	_	_
a	_	_
train	_	_
station	_	_
in	_	_
Calcutta	_	_
so	_	_
check	PRED	PRED
a	_	_
few	_	_
big	_	_
ones	_	_
?	_	_
Even	_	_
if	_	_
you	_	_
do	PRED	PRED
n't	_	_
find	PRED	PRED
the	_	_
foreigner	_	_
's	_	_
office	_	_
you	_	_
'll	_	_
be	PRED	PRED
fine	_	PRED
in	_	_
the	_	_
normal	_	_
Reservation	_	_
Office	_	_
of	_	_
any	_	_
big	_	_
train	_	_
station	_	_
.	_	_
This	_	_
is	PRED	PRED
where	_	_
you	_	_
can	_	_
get	PRED	PRED
AND	_	_
change	PRED	PRED
express	_	_
train	_	_
tickets	_	_
.	_	_
well	_	_
if	_	_
your	_	_
desired	PRED	PRED
boarding	_	_
station	_	_
comes	PRED	PRED
after	_	_
more	_	_
than	_	_
2	_	_
or	_	_
3	_	_
halts	_	PRED
of	_	_
the	_	_
actual	_	_
boarding	_	_
point	_	_
,	_	_
then	_	_
the	_	_
TC	_	_
will	_	_
cancel	PRED	PRED
you	_	_
ticket	_	_
and	_	_
allot	PRED	PRED
the	_	_
seat	_	_
to	_	_
others	_	_
.	_	_
so	_	_
better	_	_
inquire	PRED	PRED
in	_	_
railway	_	_
office	_	_
Contact	PRED	PRED
the	_	_
Indian	_	_
railways	_	_
.	_	_
You	_	_
might	_	_
end	PRED	PRED
up	_	_
as	_	_
a	_	_
no	_	_
show	_	PRED
passenger	_	_
.	_	_
petsmart	_	_
application	_	PRED
?	_	_
my	_	_
name	_	_
is	PRED	PRED
Josalyn	_	_
Leainne	_	_
Creek	_	_
and	_	_
i	_	_
'm	PRED	PRED
19	_	_
years	_	_
old	_	PRED
and	_	_
i	_	_
graduated	PRED	PRED
from	_	_
high	_	_
in	_	_
May	_	_
adn	_	_
of	_	_
this	_	_
year	_	_
and	_	_
i	_	_
love	PRED	PRED
animals	_	_
and	_	_
i	_	_
'm	PRED	PRED
great	_	PRED
at	_	_
working	_	PRED
and	_	_
i	_	_
had	PRED	PRED
drama	_	_
in	_	_
my	_	_
last	_	_
job	_	_
which	_	_
was	PRED	PRED
mcallister	_	_
's	_	_
deli	_	_
and	_	_
i	_	_
',	PRED	_
a	_	_
mormon	_	_
and	_	_
i	_	_
hvae	PRED	PRED
changed	PRED	PRED
to	_	_
be	PRED	PRED
a	_	_
better	_	_
person	_	_
that	_	_
pwople	_	_
are	PRED	PRED
wanting	_	PRED
to	_	_
hirier	PRED	PRED
and	_	_
i	_	_
'm	PRED	PRED
willing	_	PRED
to	_	_
work	PRED	PRED
whenever	_	_
you	_	_
need	PRED	PRED
me	_	_
but	_	_
i	_	_
go	PRED	PRED
to	_	_
church	_	_
on	_	_
every	_	_
sunday	_	_
and	_	_
i	_	_
have	PRED	PRED
a	_	_
doctor	_	_
's	_	_
appointment	_	PRED
this	_	_
thursday	_	_
at	_	_
2;30	_	_
and	_	_
i	_	_
hope	PRED	PRED
you	_	_
h=guys	_	_
hirier	PRED	PRED
me	_	_
because	_	_
i	_	_
work	PRED	PRED
very	_	_
hard	_	_
and	_	_
i	_	_
do	PRED	PRED
nt	_	_
care	PRED	PRED
about	_	_
how	_	_
much	_	_
you	_	_
guys	_	_
pay	PRED	PRED
and	_	_
i	_	_
've	PRED	PRED
been	PRED	PRED
looking	_	PRED
for	_	_
a	_	_
job	_	_
ever	_	_
since	_	_
i	_	_
have	PRED	PRED
graduated	PRED	PRED
and	_	_
i	_	_
hate	PRED	PRED
